field_1,Haltestellen_Id,ein_dtv,aus_dtv,ein_dwv,aus_dwv,HALTESTELLEN_Haltestellennummer,HALTESTELLEN_Haltestellenkurzname,HALTESTELLEN_Haltestellenlangname,sum_dtv,sum_dwv
"169","177",466.394821917808,463.596,546.01,545.78,"2984",OBEE,"Oberengstringen, Zentrum",929.990821917808,1091.79
"170","178",299.09298630137,297.677150684932,342.04,336.2,"1516",LANZ,"Oberengstringen, Lanzrain",596.770136986302,678.24
"171","179",159.339479452055,180.119260273973,178.69,202.39,"748",EGGB,"Oberengstringen, Eggbühl",339.458739726028,381.08
"172","180",3142.07605479452,2978.85610958904,3654.09992031873,3475.75521912351,"872",FRAN,"Zürich, Frankental",6120.93216438356,7129.85513944224
"173","181",3725.56419178082,3586.21731506849,4537.9858565737,4263.94613545817,"5001",BALN,"Zürich, Bahnhof Altstetten N",7311.78150684931,8801.93199203187
"174","182",179.640849315068,367.070273972603,215.81,441.33,"2751",USNO,"Unterengstringen, Sennenbüel N",546.711123287671,657.14
"175","183",232.809643835616,214.139123287671,264.514820717131,244.77984063745,"743",ECKS,"Unterengstringen, Eckstein",446.948767123287,509.294661354581
"176","184",62.6286301369863,59.7913150684931,68.8494422310757,67.9098406374502,"6724",ULAN,"Unterengstringen, Langwisen",122.419945205479,136.759282868526
"177","185",139.287397260274,123.938767123288,158.398486055777,138.332310756972,"2631",TAWI,"Schlieren, Talacker-Windegg",263.226164383562,296.730796812749
"178","186",203.948356164384,161.704794520548,241.491195219124,190.543466135458,"838",FSTR,"Schlieren, Feldstrasse",365.653150684932,432.034661354582
"179","187",1255.21698630137,1277.19339726027,1467.54326693227,1480.37541832669,"6347",SCHB,"Schlieren, Bahnhof",2532.41038356164,2947.91868525896
"180","188",1114.70765315069,1535.49179260274,1343.63375856574,1786.8257940239,"2236",SCHL,"Schlieren, Zentrum/Bahnhof",2650.19944575343,3130.45955258964
"181","189",295.148931506849,278.808219178082,353.616573705179,326.630996015936,"550",BRUG,"Schlieren, Brunngasse",573.957150684931,680.247569721115
"182","190",69.9838904109589,95.4371232876712,83.6772111553785,107.957171314741,"1694",NASS,"Schlieren, Nassacker",165.42101369863,191.63438247012
"183","191",74.3482191780822,118.188328767123,85.9424701195219,141.543585657371,"1151",HEIM,"Schlieren, Heimeliweg",192.536547945205,227.486055776893
